market_constraint,dayzer_constraint,dayzer_score,dayzer_confidence,pano_constraint,pano_score,pano_confidence
EASTON  69 KV   EAS-EMU | ACTUAL,EASTON_69 KV_EAS-EMU:ACTUAL,100.0,high,EASTON 69KV - EMUNI 69KV (EASTON 69 KV EAS-EMU) | L69.Easton-EastonTap-Muni-Longwood-WyeMills.6707,84.44444444444444,medium
SAYRECON230 KV SAY-SAY | ACTUAL,SAYRECON_230 KV_SAY-SAY:ACTUAL,77.55102040816327,low,LINE    230 KV  CED-ROSB | SAYREVIL230 KV  E       CB      OPEN    SAYREVIL230 KV  F       CB      OPEN    SAYRECON230 KV  DCLI,70.27027027027027,low
BERGEN 230 KV BER-HUD | ACTUAL,BERGEN_230 KV_BER-HUD:ACTUAL,100.0,high,BERGEN 230KV - HCS 230KV (BERGEN 230 KV BER-HUD) | BASE,85.1063829787234,medium
LINE 69 KV MONR AE-VINELAND 0711-1 | L230.CUMBERLAND-ORCHARD.2314,MILL_69 KV_MIL-TUC:L230.Cumberland-Orchard.2314,83.54430379746836,medium,MONR AE 69KV - VINELAND 69KV (MONR AE 69 KV MON-VINE) | L230.Cumberland-Orchard.2314,91.74311926605505,high
BERWICK 69 KV BERWICK-KOONSVIL | ACTUAL,KOONSVIL_69 KV_XFMR1:ACTUAL,86.95652173913044,medium,BERWICK-KOONSVIL            A  69 KV | BASE,85.71428571428571,medium
PREST TIBB 138 KV L/O PRAIRIE STATE MT VERNON 345 KV | PRAIRIE STATE-W MT. VERNON 345,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,89.88764044943821,medium,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) | Prairie State-W Mt. Vernon 345,89.88764044943821,medium
DOEX530 345 KV  203T | ACTUAL,DOEX530_345 KV_203T:ACTUAL,100.0,high,DOEX530 13.8KV - DOEX530 345KV (DOEX530 345 KV 203T) | BASE,83.72093023255815,medium
DOEX530 345 KV  208T | ACTUAL,DOEX530_345 KV_208T:ACTUAL,100.0,high,DOEX530 345 KV  208T | BASE,87.8048780487805,medium
BOONETWN230 KV  BOO-SRE | 500/230.LAUSCHTOWN.T3,BOONETWN_230 KV_BOO-SRE:500/230.Lauschtown.T3,87.35632183908046,medium,BOONETWN 230KV - SREADING 230KV (BOONETWN 230 KV BOO-SRE) | 500/230.Lauschtown.T3,80.55555555555556,medium
94 HAURD138 KV 96101 | ACTUAL,94 HAURD_138 KV_96101:ACTUAL,79.24528301886792,low,94 HAURD138 KV  18623 | BASE,70.27027027027027,low
PRESTON-TANYARD 6716-5 B 69 KV | 230/138.VIENNA.AT20,PRESTON_69 KV_PRE-TAN:230/138.Vienna.AT20,88.88888888888889,medium,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN) | 230/138.Vienna.AT20,90.9090909090909,high
NORTHWEST TAP - PURDUE 138 KV L/O WESTWOOD - W LAFAYETTE 138 KV | L138.WESTWOOD-08NW_TAP-WLAFYETT,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,76.2589928057554,low,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV | L138.Westwood-08NW_Tap-WLafyett,100.0,high
COOLSPRI230 KV  COL-MIL | L230.INDIANRIVER-MILFORD.23034,COOLSPRI_230 KV_COL-MIL:L230.IndianRiver-Milford.23034,89.52380952380952,medium,MILFORD 230KV - COOLSPRI 230KV (COOLSPRI 230 KV COL-MIL) | L230.IndianRiver-Milford.23034,89.52380952380952,medium
4 QUAD C 345 KV 4 QUAD CITY 45TR1 18 | ACTUAL,4 QUAD C_345 KV_TR1 18:ACTUAL,92.3076923076923,high,4 QUAD C 18KV - 4 QUAD C 345KV (4 QUAD C 345 KV TR1 18) | BASE,70.83333333333333,low
PREST - TIBBS 138 KV L/O ASTER - COMMODORE 345 KV | ASTER - CMDR 345 KV,PRES_138 KV_PRE-TIBB:Aster - CMDR 345 kV,83.33333333333333,medium,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB) | Aster - CMDR 345 kV,83.33333333333333,medium
4 QUAD C345 KV  TR2 18 | ACTUAL,4 QUAD C_345 KV_TR2 18:ACTUAL,94.54545454545455,high,4 QUAD C345 KV  ATR82 13 | BASE,74.07407407407408,low
FACEROCK69 KV   FAROZBR | L500.CONASTONE-PEACHBOTTOM.5012,FACEROCK_69 KV_FAROZBR:(NUKE) L500.PeachBottom-Conastone.5012,89.0909090909091,medium,FACEROCK69 KV   FAROZBR | L500.Conastone-PeachBottom.5012,100.0,high
BENTONHA138 KV  BEN-WES1 | ACTUAL,BENTONHA_138 KV_BEN-WES1:ACTUAL,81.35593220338983,medium,BENTONHA138 KV  BEN-RIV2 | BASE,77.27272727272728,low
177 BURN 345 KV BURNHAM-MUNSTER2 TIE | L765.DUMONT-WILTONCENTER.11215,945 CRET_345 KV_CRE-CRET:L765.Dumont-WiltonCenter.11215,84.70588235294117,medium,177 BURN 345KV - MUNSTER2 345KV (177 BURN 345 KV BUR-MUN1) | L765.Dumont-WiltonCenter.11215,92.3076923076923,high
CEDARCRE230 KV  CED-SIL | L230.CARTANZA-MILFORD.23033,CEDARCRE_230 KV_CED-SIL:L230.Cartanza-Milford.23033,88.88888888888889,medium,CEDARCRE230 KV  CED-RED | L230.Cartanza-Milford.23033,95.74468085106383,high
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765 | L765.DUMONT-WILTONCENTER.11215,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,81.57894736842105,medium,Casey-Breed 345 l/o Wilton Center-Dumont 765 | L765.Dumont-Wilton Center.11215,87.75510204081633,medium
FREMNT  138 KV  FRE-WFR1 | ACTUAL,FREMNT_138 KV_FRE-WFR1:ACTUAL,100.0,high,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1) | BASE,85.71428571428571,medium
PA-CENT CONTINGENCY 1 | L500.JUNIATA-SUNBURY.5046,JUNIATA_500 KV_2:L500.Juniata-Sunbury.5046,86.20689655172414,medium,TRANSFER INTERFACE: PA-CENT | L500.Juniata-Sunbury.5046,82.5,medium
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345 | L345.OAKGROVE-LOUISA (MEC),SB 71 6_161 KV_62230622:L345.Oakgrove-Louisa (MEC),73.6842105263158,low,SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622) | L345.Oakgrove-Louisa (MEC),73.46938775510205,low
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV | L345.FARGO-SANDBRG,81 TOULO_138 KV_0321X:Sandburg-Fargo 345 kV,77.61194029850746,low,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL) | Sandburg-Fargo 345 kV,79.24528301886792,low
12 DRESDEN 45TR81 CT H 345 KV | L345.LOCKPORT-KENDALL.10805,12 DRESD_345 KV_1220:L345.Lockport-Kendall.10805,86.74698795180723,medium,12 DRESD 345KV - 900 ELWO 345KV (12 DRESD 345 KV 1220) | L345.Lockport-Kendall.10805,82.14285714285714,medium
KINGSTON69 KV   KST-WOR | ACTUAL,KINGSTON_69 KV_KST-WOR:ACTUAL,83.63636363636364,medium,WOVERDPL 69KV - KINGSTON 69KV (KINGSTON 69 KV KST-WOR) | BASE,61.29032258064516,weak
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806 | WESTWOOD-08NW_TAP-WLAFYETT 138,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138,73.4375,low,08NW_Tap-Purdue 138 l/o Westwood-08NW_Tap-WLafyett 138 | Westwood-08NW_Tap-WLafyett 138,90.66666666666667,high
WHITESTN 115 KV WHITESTN-HARMONYV 65A | L230.FREDERICKSBURG-BIRCHWOOD.2083,HARMONYV_230 KV_TX2:L230.Fredericksburg-Birchwood.2083,89.58333333333333,medium,WHITESTN-HARMONYV 65A       B  115 KV | L230.Fredericksburg-Birchwood.2083,100.0,high
JUNIATA 2 XFORMER H 500 KV | 500/230.JUNIATA.T1,JUNIATA_500 KV_2:500/230.Juniata.T1,100.0,high,JUNIATA 500KV - JUNIATA 230KV (JUNIATA 500 KV 2) | 500/230.Juniata.T1,89.65517241379311,medium
GARRETAP-GARRETT B 115 KV | ACTUAL,GARRETAP_115 KV_GAR-GAR:ACTUAL,91.30434782608695,high,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR) | BASE,83.01886792452831,medium
MEHOOPAN115 KV  MEH-NME1 | NORTH MESHOPPEN - MEHOOPANY2 115 KV LINE,MEHOOPAN_115 KV_MEH-NME1:North Meshoppen - Mehoopany2 115 kV line,95.65217391304348,high,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1) | North Meshoppen - Mehoopany2 115 kV line,88.70967741935483,medium
